epoch,step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,1.9987666606903076,,
0,49,,,0.39500001072883606,1.7601895332336426
0,49,2.7281200885772705,,,
1,99,,1.2236887216567993,,
1,99,,,0.5400000214576721,1.3075103759765625
1,99,1.50553560256958,,,
2,149,,1.3260085582733154,,
2,149,,,0.5199999809265137,1.5563554763793945
2,149,1.277533769607544,,,
3,199,,1.3475956916809082,,
3,199,,,0.49000000953674316,1.6898771524429321
3,199,1.005692481994629,,,
4,249,,0.6681363582611084,,
4,249,,,0.5899999737739563,1.2761144638061523
4,249,0.8700498342514038,,,
5,299,,0.7764972448348999,,
5,299,,,0.550000011920929,1.3545715808868408
5,299,0.6395838856697083,,,
6,349,,0.28059589862823486,,
6,349,,,0.6050000190734863,1.421861171722412
6,349,0.3989921510219574,,,
7,399,,0.17369364202022552,,
7,399,,,0.550000011920929,1.5758106708526611
7,399,0.28920021653175354,,,
8,449,,0.11102461814880371,,
8,449,,,0.5699999928474426,1.5853500366210938
8,449,0.20488744974136353,,,
9,499,,0.21544060111045837,,
9,499,,,0.5550000071525574,1.5056240558624268
9,499,0.1748967319726944,,,
10,500,,,0.5550000071525574,1.5056240558624268
